playerID, gamertag, servicetag, first_active, last_active, gameID, game_var_name, game_var_class, game_time, isteam, standing, score, teamstanding, kills, deaths, assists, betrayals, suicides, avg_kill_dist, killed_most_cnt, killed_by_most, killed_by_most_cnt, tot_med_cnt, uniq_tot_med_cnt, sty_med_cnt, uniq_sty_med_cnt, mult_med_cnt, oth_med_cnt
0,Arrow of Doubt,ARRW,/Date(1284516360000-0700)/,/Date(1288761600000-0700)/,291365935,Slayer DMRs,3,/Date(1288757884000-0700)/,True,0,4,,4,8,2,0,0,25.021822,3,Pr3cisi0ni5t,4,12,9,10,7,1,1
1,FearfulSpoon,L33,/Date(1285195260000-0700)/,/Date(1288761600000-0700)/,291365935,Slayer DMRs,3,/Date(1288757884000-0700)/,True,0,9,,9,8,1,0,0,15.02704,5,Pr3cisi0ni5t,3,11,7,9,5,1,1
2,FoolproofScout,DEV,/Date(1284450720000-0700)/,/Date(1288759020000-0700)/,291365935,Slayer DMRs,3,/Date(1288757884000-0700)/,True,0,11,,11,8,0,0,0,20.9558849,5,lackofemotion,4,14,9,9,5,1,3
4,Sheriff Taco,TACO,/Date(1285103760000-0700)/,/Date(1288763220000-0700)/,291365935,Slayer DMRs,3,/Date(1288757884000-0700)/,True,1,4,,4,2,0,0,0,7.01754665,2,FearfulSpoon,1,4,4,1,1,1,2
6,Pr3cisi0ni5t,W3ST,/Date(1287381240000-0700)/,/Date(1288802880000-0700)/,291365935,Slayer DMRs,3,/Date(1288757884000-0700)/,True,1,13,,13,15,0,0,0,20.70099,4,FearfulSpoon,5,13,7,9,4,0,4
7,lackofemotion,LT,/Date(1287466380000-0700)/,/Date(1288758540000-0700)/,291365935,Slayer DMRs,3,/Date(1288757884000-0700)/,True,1,12,,12,16,1,0,0,28.02814,4,FoolproofScout,5,10,5,8,3,0,2
3,SGT MARS,MARS,/Date(1284504360000-0700)/,/Date(1288760340000-0700)/,291365935,Slayer DMRs,3,/Date(1288757884000-0700)/,True,1,4,,4,2,2,0,0,98.94842,1,FoolproofScout,1,8,4,3,2,2,3
0,Arrow of Doubt,ARRW,/Date(1284516360000-0700)/,/Date(1288761600000-0700)/,291338644,Slayer,3,/Date(1288756992000-0700)/,True,0,14,,14,12,2,0,0,11.3028889,7,jdw44454,4,17,7,13,5,0,4
1,FearfulSpoon,L33,/Date(1285195260000-0700)/,/Date(1288761600000-0700)/,291338644,Slayer,3,/Date(1288756992000-0700)/,True,0,12,,12,12,5,0,0,13.1757193,5,Lugy21,4,18,7,14,4,0,3
3,sling19shot57,BAIT,/Date(1284502800000-0700)/,/Date(1288764540000-0700)/,291338644,Slayer,3,/Date(1288756992000-0700)/,True,0,12,,12,12,3,0,0,9.99488449,4,Lugy21,4,13,10,11,8,1,1
